chercheur_id,article_id,raw_pub_id
fsbm_nawal_sael,art_00137,fsbm_nawal_sael::oa:W4367856961
fsbm_elhabib_benlahmar,art_00138,fsbm_elhabib_benlahmar::oa:W4293765244
fsbm_sanaa_elfilali,art_00139,fsbm_sanaa_elfilali::oa:W4415903203
fsbm_mohssine_bentaib,art_00140,fsbm_mohssine_bentaib::oa:W7118004201
fsbm_mohammed_berrada,art_00141,fsbm_mohammed_berrada::oa:W1969651345
fsbm_abdelmoghit_zaarane,art_00142,fsbm_abdelmoghit_zaarane::WyhosLcAAAAJ:qxL8FJ1GzNcC
fsbm_issam_atouf,art_00142,fsbm_issam_atouf::oa:W3011153430
fsbm_mohammed_berrada,art_00143,fsbm_mohammed_berrada::oa:W2043168279
fsbm_abdelmoghit_zaarane,art_00144,fsbm_abdelmoghit_zaarane::WyhosLcAAAAJ:Wp0gIr-vW9MC
fsbm_issam_atouf,art_00144,fsbm_issam_atouf::oa:W3136184032
fsbm_wadi_badri,art_00145,fsbm_wadi_badri::oa:W4414664918
fsbm_bouazza_braikat,art_00146,fsbm_bouazza_braikat::oa:W2031946568
fsbm_mohamed_moumou,art_00147,fsbm_mohamed_moumou::oa:W1996155100
fsbm_said_gmouh,art_00148,fsbm_said_gmouh::oa:W2016598460
fsbm_amal_elhamsaselyoubi,art_00149,fsbm_amal_elhamsaselyoubi::oa:W2183458392
fsbm_nadia_iounes,art_00150,fsbm_nadia_iounes::oa:W2345125707
fsbm_mohssine_bentaib,art_00151,fsbm_mohssine_bentaib::oa:W3164953073
fsbm_faouzia_benabbou,art_00152,fsbm_faouzia_benabbou::oa:W3007761083
fsbm_nawal_sael,art_00152,fsbm_nawal_sael::oa:W3007761083
fsbm_mustapha_mouflih,art_00153,fsbm_mustapha_mouflih::oa:W2179650519
fsbm_samia_yousfi,art_00154,fsbm_samia_yousfi::oa:W2889139403
fsbm_rhma_adhiri,art_00155,fsbm_rhma_adhiri::oa:W4399344935
fsbm_youssef_sekhara,art_00156,fsbm_youssef_sekhara::oa:W4213160169
fsbm_soufiane_maimouni,art_00157,fsbm_soufiane_maimouni::oa:W7118167375
fsbm_soumia_belouafa,art_00158,fsbm_soumia_belouafa::oa:W2041096497
fsbm_nadia_barhoun,art_00159,fsbm_nadia_barhoun::oa:W2731550571
fsbm_omar_zahour,art_00160,fsbm_omar_zahour::oa:W7204118643
fsbm_hassan_laarabi,art_00161,fsbm_hassan_laarabi::oa:W7164578667
fsbm_mohamed_ghazouani,art_00162,fsbm_mohamed_ghazouani::oa:W7125584948
fsbm_khadija_achtaich,art_00163,fsbm_khadija_achtaich::oa:W7161018734
fsbm_khalid_kandali,art_00164,fsbm_khalid_kandali::oa:W7127147282
fsbm_khadija_achtaich,art_00165,fsbm_khadija_achtaich::oa:W3198040720
fsbm_chaouki_sadik,art_00166,fsbm_chaouki_sadik::oa:W4281260794
fsbm_omar_tanane,art_00167,fsbm_omar_tanane::oa:W2948758803
fsbm_mohammed_aitdaoud,art_00168,fsbm_mohammed_aitdaoud::oa:W2293497573
fsbm_abdelmjid_abourriche,art_00169,fsbm_abdelmjid_abourriche::oa:W3138531905
fsbm_khalid_kandali,art_00170,fsbm_khalid_kandali::oa:W4210435944
fsbm_abdelmoghit_zaarane,art_00171,fsbm_abdelmoghit_zaarane::WyhosLcAAAAJ:4DMP91E08xMC
fsbm_issam_atouf,art_00171,fsbm_issam_atouf::oa:W3083461963
fsbm_abdelmoghit_zaarane,art_00172,fsbm_abdelmoghit_zaarane::WyhosLcAAAAJ:aqlVkmm33-oC
fsbm_issam_atouf,art_00172,fsbm_issam_atouf::oa:W3011918519
fsbm_abderrahmane_daif,art_00173,fsbm_abderrahmane_daif::oa:W2287165970
fsbm_said_nouh,art_00174,fsbm_said_nouh::oa:W2966325025
fsbm_bouazza_braikat,art_00175,fsbm_bouazza_braikat::oa:W3198744009
fsbm_said_nouh,art_00176,fsbm_said_nouh::oa:W2039633855
fsbm_khalid_kandali,art_00177,fsbm_khalid_kandali::oa:W3097211503
fsbm_omar_tanane,art_00178,fsbm_omar_tanane::oa:W2734008499
fsbm_aziz_boutouil,art_00179,fsbm_aziz_boutouil::oa:W2982807429
fsbm_abderrahim_eladraoui,art_00180,fsbm_abderrahim_eladraoui::oa:W2770268279
fsbm_soumia_mordane,art_00181,fsbm_soumia_mordane::oa:W2015694633
fsbm_abdellah_hamdaoui,art_00182,fsbm_abdellah_hamdaoui::oa:W2974085464
fsbm_samir_chtita,art_00183,fsbm_samir_chtita::oa:W4400079476
fsbm_khalid_kandali,art_00184,fsbm_khalid_kandali::oa:W4285412298
fsbm_tarik_chafiq,art_00185,fsbm_tarik_chafiq::oa:W7160243723
fsbm_mohamed_talea,art_00186,fsbm_mohamed_talea::oa:W2336848886
fsbm_khalid_adnaoui,art_00187,fsbm_khalid_adnaoui::oa:W3014955114
fsbm_karima_mohtadi,art_00188,fsbm_karima_mohtadi::oa:W4393325338
fsbm_abdessamad_belangour,art_00189,fsbm_abdessamad_belangour::oa:W4225315139
fsbm_abdessamad_belangour,art_00190,fsbm_abdessamad_belangour::oa:W4385679693
fsbm_rachid_essamoud,art_00191,fsbm_rachid_essamoud::oa:W4286877452
fsbm_soumia_mordane,art_00192,fsbm_soumia_mordane::oa:W3021457555
fsbm_samir_chtita,art_00193,fsbm_samir_chtita::oa:W3215416016
fsbm_elhabib_benlahmar,art_00194,fsbm_elhabib_benlahmar::oa:W2517860256
fsbm_abdelmottalib_nahli,art_00195,fsbm_abdelmottalib_nahli::oa:W4401197953
fsbm_rhma_adhiri,art_00196,fsbm_rhma_adhiri::oa:W7153330611
fsbm_khalid_adnaoui,art_00197,fsbm_khalid_adnaoui::oa:W4411589909
fsbm_laila_mouakkir,art_00197,fsbm_laila_mouakkir::oa:W4411589909
fsbm_abdellah_hamdaoui,art_00198,fsbm_abdellah_hamdaoui::oa:W4413963625
fsbm_abdellah_hamdaoui,art_00199,fsbm_abdellah_hamdaoui::oa:W4399620762
fsbm_abdelilah_akouibaa,art_00200,fsbm_abdelilah_akouibaa::oa:W4411207834
fsbm_soumia_mordane,art_00200,fsbm_soumia_mordane::oa:W4411207834
fsbm_asmae_guennoun,art_00201,fsbm_asmae_guennoun::5S8wkxEAAAAJ:u-x6o8ySG0sC
fsbm_rachid_essamoud,art_00202,fsbm_rachid_essamoud::oa:W7124301004
fsbm_laila_mouakkir,art_00203,fsbm_laila_mouakkir::oa:W4317211930
fsbm_soumia_mordane,art_00203,fsbm_soumia_mordane::oa:W4317211930
fsbm_abdellah_hamdaoui,art_00204,fsbm_abdellah_hamdaoui::oa:W2982228692
fsbm_bouazza_braikat,art_00204,fsbm_bouazza_braikat::oa:W2982228692
fsbm_aziz_boutouil,art_00205,fsbm_aziz_boutouil::oa:W2946826952
fsbm_amal_elhamsaselyoubi,art_00206,fsbm_amal_elhamsaselyoubi::oa:W2321120543
fsbm_mohammed_berrada,art_00207,fsbm_mohammed_berrada::oa:W2510638765
fsbm_abdelmjid_abourriche,art_00208,fsbm_abdelmjid_abourriche::oa:W3131958881
fsbm_wadi_badri,art_00209,fsbm_wadi_badri::oa:W3038036203
